PROFIT & LOSS 11-12-ARNI,1619071.60,YAVATMAL URBAN BANK BR.PKD,2781250.00
PROFIT & LOSS 11-12-DAR,255003.0,UCO BANK BR.YAVATMAL,1106095.0
PROFIT AND LOSS 11/12-LOHARA,3225293.0,THE DHARMPETH MAHILA  URABAN YTL BR.,2054660.0
PROFIT & LOSS 11-12-MAIN,8132310.57,"YAVATMAL URBAN CO-OP BANK, BR. DARWHA",6707438.0
PROFIT & LOSS  11/12-PAND,1372315.0,THE COS-MOS BANK BR. YTL,10145296.0
