No.,Movie name,Unnamed: 2,Director,Date ofrelease
,,,1973,
86.0,Srivaru Maavaru,Narayana,28 June,
,,,1973,
87.0,Puttinillu Mettinillu,Pattu,12 July 1973,
88.0,Sneha Bandham,P. Chandra Sekhar Reddy,20 July 1973,
89.0,Neramu Siksha,Kasinadhuni Viswanath,27 August,
,,,1973,
90.0,Devudu Chesina,,,
,Manushulu,,,
,,V. Rama Chandra Rao,9 August,
,,,1973,
91.0,Mamatha,P. Chandra Sekhar Reddy,6 September,
,,,1973,
92.0,Mayadari Malligadu,Adurti Subba Rao,5 October,
,,,1973,
93.0,Pasi Hrudayalu,M. Mallikharjuna Rao,25 October,
,,,1973,
94.0,Vintha Katha,V. S. Bose,2 November,
,,,1973,
,,,30,
95.0,Ganga Manga,V. Rama Chandra Rao,November,
,,,1973,
,,,28,
96.0,Meena,Vijaya Nirmala,December,
,,,1973,
97.0,Galipatalu,D. Prakasha Rao,1 March,
,,,1974,
98.0,Peddalu Marali,P. Chandra Sekhar Reddy,28 March,
,,,1974,
99.0,Utthama illalu,P. Sambhasiva Rao,18 April,
,,,1974,
100.0,Alluri Seetharama Raju,V. Rama Chandra Rao,1 May 1974,
101.0,Manushulu Matti,,,
,Bommalu,,,
,,B. Bhskar,31 May,
,,,1974,
102.0,Radhamma Pelli,Dasari Narayana Rao,6 July 1974,
103.0,Gowri,P. Chandra Sekhar Reddy,1 August,
,,,1974,
104.0,Adambaralu,,,
,Anubandhalu,,,
,,C. S. Rao,9 August,
,,,1974,
105.0,Deergha Sumangali,K. Hemandhara Rao,28 August,
,,,1974,
106.0,Intiniti Katha,K. Satyam,19 August,
,,,1974,
107.0,Dhanavanthulu,,6 September,
,Gunavanthulu,,,
,,K. Varaprasad Rao,,
,,,1974,
108.0,Satyaniki Sankellu,K. S. Prakash Rao,6 October,
,,,1974,
109.0,Devadasu,Vijaya Nirmala,6 December,
,,,1974,
110.0,Abimanavathi,Doondi,28 February,
,,,1975,
111.0,Kothakapuram,P. Chandra Sekhar Reddy,18 April,
,,,1975,
112.0,Soubhagyavathi,P. Chandra Sekhar Reddy,1 May 1975,
113.0,Chikativelugulu,K. S. Prakash Rao,11 July 1975,
114.0,Rakthasambandhalu,M. Mallikarjuna Rao,29 August,
,,,1975,
115.0,Santanam Soubhagyam,D. S. Prakashrao,24 October,
,,,1975,
116.0,Gajula Kishtayya,Adhurti Subba Rao,9 October,
,,,1975,
,,,22,
117.0,Devudulanti Manishi,C. S. Rao,November,
,,,1975,
118.0,Padipantalu,P. Chandra Sekhar Reddy,14 January,
,,,1976,
119.0,Sri Rajeswari Vilas,Bapu,20 February,
,Coffee Club,,1976,
120.0,Manavoori Katha,K. Hemambarada Rao,12 June,
,,,1976,
121.0,Ramarajyamlo,,,
,Rakthapasam,,,
,,P. Sambasiva Rao,25 June,
,,,1976,
,,,15,
122.0,Kolleti Kapuram,K. B. Tilak,September,
,,,1976,
123.0,Bhale Dongalu,K. S. R. Das,29 October,
,,,1976,
,,,26,
124.0,Devude Gelichadu,Vijaya Nirmala,November,
,,,1976,
125.0,Kurukshetram,K. Kameswara Rao,14 January,
,,,1977,
126.0,Savasagallu,Boinasubbarao,16 February,
,,,1977,
127.0,Eenatibandham ye,,,
,Natido,,,
,,K. S. R. Das,8 June 1977,
128.0,Janmajanmala Bandham,P. Chandra Sekhar Reddy,28 July 1977,
129.0,Panchaithi,Vijaya Nirmala,2 September,
,,,1977,
,,,27,
130.0,Dongalaku Donga,K. S. R. Das,September,
,,,1977,
131.0,Manushulu Chesina,M. Mallikarjuna Rao,19 October,
